"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Sep 1, 2024 2:09:40 AM PDT","21267526691","Order","114-8584117-9986605","K105-White","DEARJAG Piano Bench with Storage Piano Stool and Padded Cushion Wooden Duet Seat for Keyboard Piano Seat with Waterproof Non-Slip,White","1","amazon.com","Standard Orders","Amazon","Middleton","WI","53562","MarketplaceFacilitator","64.99","3.57","0","0","0","0","0","0","0","0","-3.57","-9.75","-14.75","0","0","40.49"
"Sep 1, 2024 8:56:12 AM PDT","21267526691","Order","111-5729292-7286605","K105-White","DEARJAG Piano Bench with Storage Piano Stool and Padded Cushion Wooden Duet Seat for Keyboard Piano Seat with Waterproof Non-Slip,White","1","amazon.com","Standard Orders","Amazon","GLENDALE","AZ","85310","MarketplaceFacilitator","64.99","5.59","0","0","0","0","0","0","0","0","-5.59","-9.75","-14.75","0","0","40.49"
"Sep 1, 2024 8:15:12 PM PDT","21267526691","Order","113-6758965-0459446","K105-Black","DEARJAG Piano Bench with Storage Piano Stool and Padded Cushion Wooden Duet Seat for Keyboard Piano Seat with Waterproof Non-Slip,Black","1","amazon.com","Standard Orders","Amazon","TULSA","OK","74136","MarketplaceFacilitator","64.99","5.54","0","0","0","0","0","0","0","0","-5.54","-9.75","-14.75","0","0","40.49"
"Sep 2, 2024 3:30:56 AM PDT","21267526691","Order","111-6905996-7741834","K105-Black","DEARJAG Piano Bench with Storage Piano Stool and Padded Cushion Wooden Duet Seat for Keyboard Piano Seat with Waterproof Non-Slip,Black","1","amazon.com","Standard Orders","Amazon","SHERWOOD","OR","97140","","64.99","0","0","0","0","0","0","0","0","0","0","-9.75","-14.75","0","0","40.49"
"Sep 2, 2024 4:31:32 AM PDT","21267526691","Order","113-5202022-0817024","K105-Black","DEARJAG Piano Bench with Storage Piano Stool and Padded Cushion Wooden Duet Seat for Keyboard Piano Seat with Waterproof Non-Slip,Black","1","amazon.com","Standard Orders","Amazon","ANN ARBOR","MI","48104","MarketplaceFacilitator","64.99","3.90","0","0","0","0","0","0","0","0","-3.90","-9.75","-14.75","0","0","40.49"
"Sep 2, 2024 8:11:11 AM PDT","21267526691","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-55.73","0","-55.73"
"Sep 2, 2024 10:32:42 AM PDT","21267526691","Order","111-2190963-6868219","K105-Black","DEARJAG Piano Bench with Storage Piano Stool and Padded Cushion Wooden Duet Seat for Keyboard Piano Seat with Waterproof Non-Slip,Black","1","amazon.com","Standard Orders","Amazon","SAN FRANCISCO","CA","94117","MarketplaceFacilitator","64.99","5.61","0","0","0","0","0","0","0","0","-5.61","-9.75","-14.75","0","0","40.49"
"Sep 2, 2024 12:13:23 PM PDT","21267526691","Refund","112-2804170-0807424","K105-White","DEARJAG Piano Bench with Storage Piano Stool and Padded Cushion Wooden Duet Seat for Keyboard Piano Seat with Waterproof Non-Slip,White","1","amazon.com","Standard Orders","Amazon","FISHERS","IN","46037","MarketplaceFacilitator","-58.99","-3.92","0","0","0","0","0","0","2.95","0","3.92","6.73","0","0","0","-49.31"
"Sep 2, 2024 6:16:41 PM PDT","21267526691","Order","114-3957550-5877812","K105-Black","DEARJAG Piano Bench with Storage Piano Stool and Padded Cushion Wooden Duet Seat for Keyboard Piano Seat with Waterproof Non-Slip,Black","1","amazon.com","Standard Orders","Amazon","SAINT LOUIS","MO","63121","MarketplaceFacilitator","64.99","3.40","6.99","0","0","0","0","0","-6.99","0","-3.40","-9.75","-14.75","0","0","40.49"
"Sep 2, 2024 11:44:57 PM PDT","21267526691","Order","112-2580778-2643424","K105-Black","DEARJAG Piano Bench with Storage Piano Stool and Padded Cushion Wooden Duet Seat for Keyboard Piano Seat with Waterproof Non-Slip,Black","1","amazon.com","Standard Orders","Amazon","SALEM","OR","97317","","64.99","0","0","0","0","0","0","0","0","0","0","-9.75","-14.75","0","0","40.49"
