"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Sep 1, 2024 12:04:04 AM PDT","21292942601","Order","111-7408783-6005008","ZP-13.5","Rotaglass 13.5"" Microwave Glass Turntable Plate, 13.5"" / 34.3cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef,","1","amazon.com","Standard Orders","Amazon","Suton","MA","01590","MarketplaceFacilitator","22.99","0","0","0","0","0","0","0","0","0","0","-3.45","-7.00","0","0","12.54"
"Sep 1, 2024 12:08:15 AM PDT","21292942601","Order","111-6058030-8031421","ZP-13.5","Rotaglass 13.5"" Microwave Glass Turntable Plate, 13.5"" / 34.3cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef,","1","amazon.com","Standard Orders","Amazon","PROVIDENCE","RI","02905","MarketplaceFacilitator","22.99","1.61","0","0","0","0","0","0","0","0","-1.61","-3.45","-7.00","0","0","12.54"
"Sep 1, 2024 12:20:25 AM PDT","21292942601","Order","113-6154967-2979463","ZP-12","Rotaglass 12"" Microwave Glass Turntable Plate, 12"" / 30.5cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hot","1","amazon.com","Standard Orders","Amazon","Chicago","IL","60643","MarketplaceFacilitator","18.99","1.95","0","0","0","0","0","0","0","0","-1.95","-2.85","-6.21","0","0","9.93"
"Sep 1, 2024 12:37:09 AM PDT","21292942601","Order","111-7082935-1869038","ZP-13.5","Rotaglass 13.5"" Microwave Glass Turntable Plate, 13.5"" / 34.3cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef,","1","amazon.com","Standard Orders","Amazon","KIRKLAND","WA","98033","MarketplaceFacilitator","22.99","2.37","0","0","0","0","0","0","0","0","-2.37","-3.45","-7.00","0","0","12.54"
"Sep 1, 2024 1:14:49 AM PDT","21292942601","Order","114-7880865-0550666","ZP-10.5","Rotaglass 10.5"" Microwave Glass Turntable Plate, 10.5"" / 27cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, H","1","amazon.com","Standard Orders","Amazon","YORK","PA","17408","MarketplaceFacilitator","15.99","0.96","0","0","0","0","0","0","0","0","-0.96","-2.40","-5.52","0","0","8.07"
"Sep 1, 2024 1:17:39 AM PDT","21292942601","Order","114-4684525-1741012","ZP-12","Rotaglass 12"" Microwave Glass Turntable Plate, 12"" / 30.5cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hot","1","amazon.com","Standard Orders","Amazon","CHARLOTTESVILLE","VA","22904","MarketplaceFacilitator","18.99","1.01","0","0","0","0","0","0","0","0","-1.01","-2.85","-6.21","0","0","9.93"
"Sep 1, 2024 1:22:32 AM PDT","21292942601","Order","114-9316166-1950639","ZP-13.5","Rotaglass 13.5"" Microwave Glass Turntable Plate, 13.5"" / 34.3cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef,","1","amazon.com","Standard Orders","Amazon","The Woodlands","TX","77381","MarketplaceFacilitator","22.99","1.90","0","0","0","0","0","0","0","0","-1.90","-3.45","-7.00","0","0","12.54"
"Sep 1, 2024 1:35:26 AM PDT","21292942601","Order","114-6716918-1470613","ZP-13.5","Rotaglass 13.5"" Microwave Glass Turntable Plate, 13.5"" / 34.3cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef,","1","amazon.com","Standard Orders","Amazon","HOOVER","ALABAMA","35216","MarketplaceFacilitator","22.99","1.84","0","0","0","0","0","0","0","0","-1.84","-3.45","-7.00","0","0","12.54"
"Sep 1, 2024 2:24:34 AM PDT","21292942601","Order","114-1943640-2557850","ZP-12","Rotaglass 12"" Microwave Glass Turntable Plate, 12"" / 30.5cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hot","1","amazon.com","Standard Orders","Amazon","HENRYVILLE","IN","47126","MarketplaceFacilitator","18.99","1.33","0","0","0","0","0","0","0","0","-1.33","-2.85","-6.21","0","0","9.93"
"Sep 1, 2024 2:35:50 AM PDT","21292942601","Order","111-8560904-0677837","ZP-13.5","Rotaglass 13.5"" Microwave Glass Turntable Plate, 13.5"" / 34.3cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef,","1","amazon.com","Standard Orders","Amazon","DOWNERS GROVE","IL","60516","MarketplaceFacilitator","22.99","1.84","0","0","0","0","0","0","0","0","-1.84","-3.45","-7.00","0","0","12.54"
"Sep 1, 2024 3:00:35 AM PDT","21292942601","Order","113-9157882-5875401","ZP-12","Rotaglass 12"" Microwave Glass Turntable Plate, 12"" / 30.5cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hot","1","amazon.com","Standard Orders","Amazon","SHAWNEE","OK","74804","MarketplaceFacilitator","18.99","1.90","0","0","0","0","0","0","0","0","-1.90","-2.85","-6.21","0","0","9.93"
"Sep 1, 2024 4:36:06 AM PDT","21292942601","Liquidations","16728302027551","X003ZPN6LX","Rotaglass 13.5"" Microwave Glass Turntable Plate, 13.5"" / 34 cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hotpoint, Panasonic, Kenmore, etc","1","","Standard Orders","","","","","","0.66","0","0","0","0","0","0","0","0","0","0","0","0","-0.90","0","-0.24"
"Sep 1, 2024 7:27:32 AM PDT","21292942601","Liquidations","16667093909551","X00439X2PF","Rotaglass 12.75"" Microwave Glass Turntable Plate, 12.75"" / 33 cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hotpoint, Panasonic, Kenmore, etc","1","","Standard Orders","","","","","","0.80","0","0","0","0","0","0","0","0","0","0","0","0","-0.72","0","0.08"
"Sep 1, 2024 9:25:25 AM PDT","21292942601","Order","113-5562356-3091463","ZP-11.25","Rotaglass 11.25"" Microwave Glass Turntable Plate, 11.25"" / 28.6cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Che","1","amazon.com","Standard Orders","Amazon","MIAMI","FL","33128","MarketplaceFacilitator","17.99","1.26","0","0","0","0","0","0","0","0","-1.26","-2.70","-5.77","0","0","9.52"
"Sep 1, 2024 9:49:14 AM PDT","21292942601","Order","112-1182197-2885822","ZP-13.5","Rotaglass 13.5"" Microwave Glass Turntable Plate, 13.5"" / 34.3cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef,","1","amazon.com","Standard Orders","Amazon","POMPANO BEACH","FL","33060","MarketplaceFacilitator","22.99","1.61","0","0","0","0","0","0","0","0","-1.61","-3.45","-7.00","0","0","12.54"
"Sep 1, 2024 9:53:02 AM PDT","21292942601","Order","112-9057931-4255417","ZP-12","Rotaglass 12"" Microwave Glass Turntable Plate, 12"" / 30.5cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hot","1","amazon.com","Standard Orders","Amazon","CHARLOTTE","NORTH CAROLINA","28269","MarketplaceFacilitator","18.99","1.38","0","0","0","0","0","0","0","0","-1.38","-2.85","-6.21","0","0","9.93"
"Sep 1, 2024 10:12:58 AM PDT","21292942601","Order","113-6930864-6288231","ZP-13.5","Rotaglass 13.5"" Microwave Glass Turntable Plate, 13.5"" / 34.3cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef,","1","amazon.com","Standard Orders","Amazon","DORAL","FL","33122","MarketplaceFacilitator","22.99","0","0","0","0","0","0","0","0","0","0","-3.45","-7.00","0","0","12.54"
"Sep 1, 2024 10:32:38 AM PDT","21292942601","Order","113-2733433-3189016","ZP-13.5","Rotaglass 13.5"" Microwave Glass Turntable Plate, 13.5"" / 34.3cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef,","1","amazon.com","Standard Orders","Amazon","SILVER SPRING","MD","20905","MarketplaceFacilitator","22.99","1.38","0","0","0","0","0","0","0","0","-1.38","-3.45","-7.00","0","0","12.54"
"Sep 1, 2024 11:04:41 AM PDT","21292942601","Order","111-1018306-3645859","ZP-12","Rotaglass 12"" Microwave Glass Turntable Plate, 12"" / 30.5cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hot","1","amazon.com","Standard Orders","Amazon","LAKE WORTH","FL","33461","MarketplaceFacilitator","18.99","1.33","0","0","0","0","0","0","0","0","-1.33","-2.85","-6.21","0","0","9.93"
"Sep 1, 2024 11:04:46 AM PDT","21292942601","Liquidations","16700996046551","X003ZPLQ51","Rotaglass 9.6"" Microwave Glass Turntable Plate, 9.6"" / 24.5 cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hotpoint, Panasonic, Kenmore, etc","1","","Standard Orders","","","","","","0.31","0","0","0","0","0","0","0","0","0","0","0","0","-0.40","0","-0.09"
