（父）ASIN,（子）ASIN,商品名称,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B0CR1477XN,B0CQZZ2G3Q,"AUTIGERSAFE Kids Bookshelf,4 Cube Toy Storage Organizer,2 Shelf White Wooden Bookcase,Book Organizer Kids for Playroom, Kids Room, Nursery, Kindergarten,Bedroom(White)",157,1,7.12%,2.44%,238,1,7.75%,1.59%,100.00%,0.00%,4,0,2.55%,0.00%,US$199.96 ,US$0.00 ,4,0
B0CR1477XN,B0CR18W682,"AUTIGERSAFE Small White Bookshelf,2 Tier Modern Kids Bookcase with Legs,4 Cube Wooden Bookshelves Storage Shelf,Book Shelves Organizer with 3 Dressers,Bookcases Cabinet for Living Room Grey",201,3,9.12%,7.32%,309,3,10.07%,4.76%,99.64%,100.00%,3,0,1.49%,0.00%,US$158.97 ,US$0.00 ,3,0
B0DDGFHTXC,B0DDG5J7ZB,"AUTIGERSAFE Kids Bookcase, 4 Cube Toy Storage Organizer, 2 Shelf Wooden Cabinet, White Bookshelf for Bedroom, Playing Room, Kid Room (White)",107,3,4.85%,7.32%,152,4,4.95%,6.35%,89.60%,100.00%,3,0,2.80%,0.00%,US$257.97 ,US$0.00 ,2,0
B0CQCN5D14,B0CQC45DXT,"Zimk Queen Size Bed Frame with Storage Drawers, LED Bed Frmae with Headboard,RGBW LED Light Bed Frame,Industrial Metal Platform Bed Frames,No Box Spring Needed, Noise Free,Light Grey",4,0,0.18%,0.00%,16,0,0.52%,0.00%,100.00%,0.00%,1,0,25.00%,0.00%,US$199.98 ,US$0.00 ,1,0
B0CT7Y1LFY,B0CT7Y1LFY,"AUTIGERSAFE Jo Hero Safe Box for document, Small Cabinet Safes with Fireproof Waterproof Bag, Digital Safe Box for Money Gun Cash Document, Home Safe for Kids Pocket Money House Hotel JO-3-25, Black",12,0,0.54%,0.00%,13,0,0.42%,0.00%,76.92%,0.00%,1,0,8.33%,0.00%,US$69.99 ,US$0.00 ,1,0
B0CT84K29J,B0CT84K29J,"Jo Hero Small Safe Box,Fire Proof Safe for Home Documents,Money,Cash, 0.8 Cubic Feet Personal Home Safe Box with Fireproof Waterproof Bags, Digital Keypad Safe Box for Office House Travel Car",39,5,1.77%,12.20%,55,7,1.79%,11.11%,98.15%,100.00%,1,0,2.56%,0.00%,US$88.99 ,US$0.00 ,1,0
B0CTQT5SJP,B0CTQ6WM5F,"AUTIGERSAFE 3 Drawer Wooden File Cabinet, Mobile Storage Cabinet, Lateral Printer Stand with Open Storage Shelves, Filing Cabinets for Home Office(White)",235,7,10.66%,17.07%,328,13,10.69%,20.63%,98.59%,100.00%,1,0,0.43%,0.00%,US$52.99 ,US$0.00 ,1,0
B0D9RM8SYB,B0D9RM8SYB,"AUTIGERSAFE 70 inch Mid Century Modern TV Stand, TV Stands for Living Room, Entertainment Center with Storage Cabinet, Media Console Wooden Television Furniture for Living Room",316,9,14.34%,21.95%,488,16,15.90%,25.40%,99.25%,100.00%,1,0,0.32%,0.00%,US$159.99 ,US$0.00 ,1,0
B096TF9YH1,B096TF9YH1,"JOHERO Safe Box LED Digital Password Keyboard Security Safe Steel Construction Hidden with Lock,Alarm System Alloy Steel Safe for Home Office Hotel Business 0.77 Cubic Feet Black",27,0,1.23%,0.00%,44,0,1.43%,0.00%,80.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B09K3J26X6,B09K3J26X6,"JoHero Steel Money Safe Box for Home Office Hotel Business with Electronic Digital Keypad And Knob,0.77 Cubic Feet Security Safe Box for Money with Emergency key(Black)",33,0,1.50%,0.00%,38,0,1.24%,0.00%,94.29%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
