"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Sep 1, 2024 12:16:17 AM PDT","21331917541","Shipping Services","112-1401831-5884243","","ReturnPostageBilling","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-14.70","-14.70"
"Sep 1, 2024 7:31:07 PM PDT","21348337741","Order","111-9881310-0870631","M15-Pink","AUTIGERSAFE Kids Bookshelf,4 Cube Toy Storage Organizer,2 Shelf White Wooden Bookcase,Book Organizer Kids for Playroom, Kids Room, Nursery, Kindergart","1","amazon.com","Standard Orders","Seller","BLANCHARD","OK","73010","MarketplaceFacilitator","49.99","5.00","19.99","0","0","0","0","0","0","0","-5.00","-10.50","0","0","0","59.48"
"Sep 1, 2024 7:31:22 PM PDT","21348337741","Order","114-6506217-3705863","M15-Black","AUTIGERSAFE Small White Bookshelf,2 Tier Modern Kids Bookcase with Legs,4 Cube Wooden Bookshelves Storage Shelf,Book Shelves Organizer with 3 Dressers","1","amazon.com","Standard Orders","Seller","CONROE","TX","77385","MarketplaceFacilitator","52.99","3.84","19.99","1.45","0","0","0","0","0","0","-5.29","-10.95","0","0","0","62.03"
"Sep 2, 2024 7:31:34 PM PDT","21348337741","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-307.40","0","-307.40"
"Sep 3, 2024 3:08:00 PM PDT","21348337741","Transfer","","","To your account ending in: 083, Bank Transfer ID: 30X68EGUGS3BN91","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-574.17","-574.17"
"Sep 3, 2024 7:51:09 PM PDT","21348337741","Order","111-8802684-9544232","M15-Pink","AUTIGERSAFE Kids Bookshelf,4 Cube Toy Storage Organizer,2 Shelf White Wooden Bookcase,Book Organizer Kids for Playroom, Kids Room, Nursery, Kindergart","1","amazon.com","Standard Orders","Seller","SEAFORD","DE","19973","","49.99","0","19.99","0","0","0","0","0","0","0","0","-10.50","0","0","0","59.48"
"Sep 5, 2024 1:57:54 AM PDT","21348337741","Order","112-9887951-3357812","WF314645AAD","AUTIGERSAFE 70 inch Mid Century Modern TV Stand, TV Stands for Living Room, Entertainment Center with Storage Cabinet, Media Console Wooden Television","1","amazon.com","Standard Orders","Seller","GRETNA","LA","70056","MarketplaceFacilitator","159.99","14.72","59.99","5.52","0","0","0","0","0","0","-20.24","-32.00","0","0","0","187.98"
"Sep 8, 2024 5:42:43 PM PDT","21348337741","FBA Inventory Fee","","","FBA storage fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-3.27","-3.27"
"Sep 11, 2024 7:51:53 PM PDT","21348337741","Order","112-4880103-7889811","M15-Pink","AUTIGERSAFE Kids Bookshelf,4 Cube Toy Storage Organizer,2 Shelf White Wooden Bookcase,Book Organizer Kids for Playroom, Kids Room, Nursery, Kindergart","1","amazon.com","Standard Orders","Seller","ALEXANDRIA","VA","22310","MarketplaceFacilitator","49.99","3.00","20.98","1.26","0","0","0","0","0","0","-4.26","-10.65","0","0","0","60.32"
"Sep 12, 2024 1:19:51 PM PDT","21348337741","Refund","112-1401831-5884243","M15-Pink","AUTIGERSAFE Kids Bookshelf,4 Cube Toy Storage Organizer,2 Shelf White Wooden Bookcase,Book Organizer Kids for Playroom, Kids Room, Nursery, Kindergart","1","amazon.com","Standard Orders","Seller","SAN TAN VALLEY","AZ","85143","MarketplaceFacilitator","-49.99","-3.35","0","0","0","0","0","0","0","0","3.35","6.00","0","0","14.70","-29.29"
"Sep 13, 2024 7:48:56 AM PDT","21348337741","Shipping Services","112-1401831-5884243","","Adjustment","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.09","-0.09"
"Sep 14, 2024 8:43:49 PM PDT","21348337741","Order","114-1866272-4914669","M15-Pink","AUTIGERSAFE Kids Bookshelf,4 Cube Toy Storage Organizer,2 Shelf White Wooden Bookcase,Book Organizer Kids for Playroom, Kids Room, Nursery, Kindergart","1","amazon.com","Standard Orders","Seller","ARDMORE","OK","73401","MarketplaceFacilitator","49.99","4.56","19.99","0","0","0","0","0","0","0","-4.56","-10.50","0","0","0","59.48"
"Sep 15, 2024 11:13:30 PM PDT","21395053431","Order","112-1703833-3341807","M15-Black","AUTIGERSAFE Small White Bookshelf,2 Tier Modern Kids Bookcase with Legs,4 Cube Wooden Bookshelves Storage Shelf,Book Shelves Organizer with 3 Dressers","1","amazon.com","Standard Orders","Seller","LAWRENCEVILLE","GA","30046","MarketplaceFacilitator","52.99","3.18","20.98","1.26","0","0","0","0","0","0","-4.44","-11.10","0","0","0","62.87"
"Sep 17, 2024 7:49:48 AM PDT","21395053431","Transfer","","","To your account ending in: 083, Bank Transfer ID: 1LH1T3A75WHU58J","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-41.48","-41.48"
"Sep 19, 2024 1:21:39 AM PDT","21494309321","Transfer","","","To your account ending in: 083, Bank Transfer ID: NMQ4ZR6XU5S8NBG","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-220.93","-220.93"
"Sep 19, 2024 3:45:07 AM PDT","21494309321","Service Fee","","","Subscription","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-17.95","-17.95"
"Sep 20, 2024 12:30:15 AM PDT","21494309321","Order","112-2450009-2425806","M15-Black","AUTIGERSAFE Small White Bookshelf,2 Tier Modern Kids Bookcase with Legs,4 Cube Wooden Bookshelves Storage Shelf,Book Shelves Organizer with 3 Dressers","1","amazon.com","Standard Orders","Seller","COLORADO SPRINGS","CO","80905","MarketplaceFacilitator","52.99","4.35","19.99","1.64","0","0","0","0","0","0","-5.99","-10.95","0","0","0","62.03"
"Sep 21, 2024 5:27:53 PM PDT","21494309321","FBA Inventory Fee","","","FBA Long-Term Storage Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1.74","-1.74"
"Sep 22, 2024 8:13:07 PM PDT","21494309321","Order","113-6079727-7877016","HP-25-GM","Jo Hero Small Safe Box,Fire Proof Safe for Home Documents,Money,Cash, 0.8 Cubic Feet Personal Home Safe Box with Fireproof Waterproof Bags, Digital Ke","1","amazon.com","Standard Orders","Seller","COEUR D ALENE","ID","83815","MarketplaceFacilitator","88.99","4.14","0","0","0","0","0","0","-20.00","0","-4.14","-10.35","0","0","0","58.64"
"Sep 23, 2024 7:50:40 PM PDT","21494309321","Shipping Services","113-7873008-6396256","","ReturnPostageBilling","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-14.82","-14.82"
"Sep 25, 2024 12:26:58 AM PDT","21494309321","Order","111-5381824-5576232","ZK-ZK003-Light Grey-Queen","Zimk Queen Size Bed Frame with Storage Drawers, LED Bed Frmae with Headboard,RGBW LED Light Bed Frame,Industrial Metal Platform Bed Frames,No Box Spri","1","amazon.com","Standard Orders","Seller","WILMINGTON","DE","19805","","199.98","0","39.99","0","0","0","0","0","0","0","0","-34.00","0","0","0","205.97"
"Sep 25, 2024 10:31:49 AM PDT","21494309321","Refund","111-1491024-7965837","M4-20-BLACK","AUTIGERSAFE High Security Safe Box for Home Office Hotel Business Storage With Digital Password And Knob, 0.44 Cubic Feet Black Solid Alloy Steel","1","amazon.com","Standard Orders","Amazon","CARNEGIE","PA","15106","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-53.48","-53.48"
"Sep 26, 2024 12:19:44 AM PDT","21494309321","Order","114-4417918-0185844","ZMRWJG01-White","AUTIGERSAFE 3 Drawer Wooden File Cabinet, Mobile Storage Cabinet, Lateral Printer Stand with Open Storage Shelves, Filing Cabinets for Home Office(Whi","1","amazon.com","Standard Orders","Seller","MURFREESBORO","TN","37127","MarketplaceFacilitator","52.99","0","39.99","0","0","0","0","0","0","0","0","-13.95","0","0","0","79.03"
"Sep 26, 2024 11:03:37 AM PDT","21494309321","Adjustment","111-1491024-7965837","M4-20-BLACK","FBA Inventory Reimbursement - Customer Return","1","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53.48","53.48"
