"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Sep 1, 2024 12:00:18 AM PDT","21227049771","Order","114-3604778-9550661","DG-17""","LJGG Squeegee Broom for Floor, 17"" Rubber Squeegee with 51"" Aluminum Alloy Pole for Bathroom Tile, Garage Concrete, Deck, Shower Glass, Window Cleanin","1","amazon.com","Standard Orders","Amazon","CHARLOTTE","NC","28211","MarketplaceFacilitator","19.99","1.45","0","0","0","0","0","0","0","0","-1.45","-3.00","-5.37","0","0","11.62"
"Sep 1, 2024 12:02:23 AM PDT","21245569311","Order","113-7859747-5385049","CCQ-L","LJGG Window Cleaning Squeegee kit, 14"" Squeegee and 14"" Microfiber Scrubber with Aluminum Alloy Pole, 54"" Telescopic Window Cleaning Tool for Glass Do","1","amazon.com","Invoiced Orders","Amazon","WINDSOR","CO","80550","MarketplaceFacilitator","26.99","0","0","0","0","0","0","0","0","0","0","-4.05","-5.52","0","0","17.42"
"Sep 1, 2024 12:48:58 AM PDT","21227049771","Order","113-3078711-3237860","TB-L","LJGG Microfiber Mops for Floor Cleaning, 18 Inch Baseboard Cleaner Mop Tool, Flat Floor Mop for Laminate Wooden Hard Floor Vinyl Tile, Bathroom Kitche","1","amazon.com","Standard Orders","Amazon","ARLINGTON","MA","02476","MarketplaceFacilitator","24.99","1.56","5.23","0","0","0","0","0","-5.23","0","-1.56","-3.75","-5.87","0","0","15.37"
"Sep 1, 2024 1:20:12 AM PDT","21227049771","Order","114-6243696-4422638","DG-17""","LJGG Squeegee Broom for Floor, 17"" Rubber Squeegee with 51"" Aluminum Alloy Pole for Bathroom Tile, Garage Concrete, Deck, Shower Glass, Window Cleanin","1","amazon.com","Standard Orders","Amazon","CARMEL","IN","46033","MarketplaceFacilitator","19.99","1.40","3.19","0","0","0","0","0","-3.19","0","-1.40","-3.00","-5.37","0","0","11.62"
"Sep 1, 2024 3:21:49 AM PDT","21227049771","Order","111-0356142-4678601","TB-L","LJGG Microfiber Mops for Floor Cleaning, 18 Inch Baseboard Cleaner Mop Tool, Flat Floor Mop for Laminate Wooden Hard Floor Vinyl Tile, Bathroom Kitche","1","amazon.com","Standard Orders","Amazon","Parker","CO","80138","MarketplaceFacilitator","24.99","0.97","0","0","0","0","0","0","0","0","-0.97","-3.75","-5.87","0","0","15.37"
"Sep 1, 2024 5:47:08 AM PDT","21227049771","Order","112-6638324-3625862","DG-17""","LJGG Squeegee Broom for Floor, 17"" Rubber Squeegee with 51"" Aluminum Alloy Pole for Bathroom Tile, Garage Concrete, Deck, Shower Glass, Window Cleanin","1","amazon.com","Standard Orders","Amazon","CLEARWATER","FL","33763","MarketplaceFacilitator","19.99","1.40","0","0","0","0","0","0","0","0","-1.40","-3.00","-5.37","0","0","11.62"
"Sep 1, 2024 8:12:31 AM PDT","21227049771","Liquidations","16651552841551","X003XER76V","LJGG Squeegee Broom for Floor, 14"" Rubber Squeegee with 51"" Aluminum Alloy Pole for Bathroom Tile, Garage Concrete, Deck, Shower Glass, Window Cleaning, Squeegee Broom for Household Floor","1","","Standard Orders","","","","","","1.00","0","0","0","0","0","0","0","0","0","0","0","0","-0.50","0","0.50"
"Sep 1, 2024 8:14:04 AM PDT","21227049771","Order","111-2954423-7748256","JBTB-L","LJGG 15"" Microfiber Mops for Floor Cleaning, Floor Mops with 4 Washable Pads & Stainless Steel Long Handle, Professional Home Commercial Wood Floor Mo","1","amazon.com","Standard Orders","Amazon","ALEXANDRIA","VA","22314","MarketplaceFacilitator","19.99","1.20","0","0","0","0","0","0","0","0","-1.20","-3.00","-5.87","0","0","11.12"
"Sep 1, 2024 9:07:48 AM PDT","21227049771","Order","111-2654765-5002668","TB-L","LJGG Microfiber Mops for Floor Cleaning, 18 Inch Baseboard Cleaner Mop Tool, Flat Floor Mop for Laminate Wooden Hard Floor Vinyl Tile, Bathroom Kitche","1","amazon.com","Standard Orders","Amazon","NEWBURY PARK","CA","91320","MarketplaceFacilitator","24.99","1.81","4.37","0","0","0","0","0","-4.37","0","-1.81","-3.75","-5.87","0","0","15.37"
"Sep 1, 2024 9:40:03 AM PDT","21227049771","Order","114-0242378-8055449","CCQ-L","LJGG Window Cleaning Squeegee kit, 14"" Squeegee and 14"" Microfiber Scrubber with Aluminum Alloy Pole, 54"" Telescopic Window Cleaning Tool for Glass Do","1","amazon.com","Standard Orders","Amazon","CEDAR PARK","TX","78613","MarketplaceFacilitator","19.99","1.48","0","0","0","0","0","0","-2.00","0","-1.48","-2.70","-5.52","0","0","9.77"
