"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 7, 2024 6:12:12 AM PDT","21466770461","Order","113-2218665-7978657","MJQ-TR250E","DACAT-RICHFU TR250E 14L Autoclave","1","amazon.com","Standard Orders","Amazon","MIAMI","FL","33143","MarketplaceFacilitator","538.99","37.73","0","0","0","0","0","0","0","0","-37.73","0","-24.25","0","0","514.74"
"Oct 7, 2024 7:27:51 AM PDT","20606845691","Order","113-1510159-6130650","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Invoiced Orders","Amazon","HAMPTON","VA","23666","MarketplaceFacilitator","868.99","0","4.85","0","0","0","0","0","-4.85","0","0","-104.28","-51.37","0","0","713.34"
"Oct 7, 2024 12:56:23 PM PDT","21466770461","Order","111-2908983-2462668","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","HOUSTON","TX","77008","MarketplaceFacilitator","868.99","71.69","0","0","0","0","0","0","0","0","-71.69","0","-51.37","0","0","817.62"
"Oct 7, 2024 10:25:18 PM PDT","21466770461","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-501.77","0","-501.77"
"Oct 8, 2024 3:40:55 AM PDT","21466770461","Service Fee","","","Subscription","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-17.99","-17.99"
"Oct 8, 2024 5:14:55 AM PDT","21466770461","FBA Inventory Fee","","","FBA storage fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-209.64","-209.64"
"Oct 8, 2024 12:14:49 PM PDT","21466770461","Order","111-4396466-9565006","MJQ-TR250E","DACAT-RICHFU TR250E 14L Autoclave","1","amazon.com","Standard Orders","Amazon","DALLAS","TX","75224","MarketplaceFacilitator","538.99","44.47","0","0","0","0","0","0","0","0","-44.47","0","-24.25","0","0","514.74"
"Oct 9, 2024 10:30:31 AM PDT","21572731031","Order","112-4829945-1437836","MJQ-TR250NM","DACAT-RICHFU TR250NM 18L Automatic Autoclave","1","amazon.com","Standard Orders","Amazon","TOMBALL","TX","77375","MarketplaceFacilitator","799.99","61.92","0","0","0","0","0","0","-49.50","0","-61.92","0","-45.37","0","0","705.12"
"Oct 9, 2024 1:13:38 PM PDT","21572731031","Order","114-9719760-5777835","QXJ-QF-4006DW","DACAT-RICHFU Ultrasonic Cleaner, 6.5L Professional Ultrasonic Cleaner Stainless Steel Heated Industrial Cleaning Machine，Ultrasonic Parts Cleaner Fi","1","amazon.com","Standard Orders","Amazon","HARDWICK","NJ","07825","MarketplaceFacilitator","109.99","7.29","0","0","0","0","0","0","0","0","-7.29","0","-16.27","0","0","93.72"
"Oct 9, 2024 2:58:48 PM PDT","21572731031","Order","113-9357748-0896204","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","MIAMI","FL","33126","MarketplaceFacilitator","868.99","60.83","6.99","0","0","0","0","0","-6.99","0","-60.83","0","-51.37","0","0","817.62"
"Oct 10, 2024 6:51:17 AM PDT","21572731031","Transfer","","","To your account ending in: 605, Bank Transfer ID: 23U2FBSGZWFUTRW","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-9,567.89","-9,567.89"
"Oct 10, 2024 9:15:49 AM PDT","21572731031","Service Fee","FBA1872N01WT","","FBA Inbound Placement Service Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oct 10, 2024 12:14:22 PM PDT","21572731031","Service Fee","FBA181SXS1MT","","FBA Inbound Placement Service Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oct 10, 2024 6:25:36 PM PDT","21572731031","Order","112-4829945-1437836","MJQ-TR250NM","DACAT-RICHFU TR250NM 18L Automatic Autoclave","1","amazon.com","Standard Orders","Amazon","TOMBALL","TX","77375","MarketplaceFacilitator","799.99","61.92","0","0","0","0","0","0","-49.50","0","-61.92","0","-45.37","0","0","705.12"
"Oct 11, 2024 7:13:49 PM PDT","21572731031","Order","113-5704546-5257865","MJQ-TR250E","DACAT-RICHFU TR250E 14L Autoclave","1","amazon.com","Standard Orders","Amazon","WOODBRIDGE","NJ","07095","MarketplaceFacilitator","538.99","35.71","4.20","0","0","0","0","0","-4.20","0","-35.71","0","-24.25","0","0","514.74"
"Oct 11, 2024 10:34:42 PM PDT","21572731031","Refund","111-7933006-4061832","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","LEWISTOWN","PA","17044","MarketplaceFacilitator","-868.99","-52.14","0","0","0","0","0","0","0","0","52.14","99.28","0","0","0","-769.71"
"Oct 12, 2024 4:46:04 PM PDT","21572731031","Refund","112-7584495-8080250","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","ROCKPORT","TX","78382","MarketplaceFacilitator","-868.99","-71.69","0","0","0","0","0","0","0","0","71.69","99.28","0","0","0","-769.71"
"Oct 13, 2024 2:49:30 AM PDT","21572731031","Order","114-4395367-6689043","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","PUEBLO","CO","81003","MarketplaceFacilitator","968.99","73.64","0","0","0","0","0","0","0","0","-73.64","0","-51.37","0","0","917.62"
"Oct 13, 2024 8:32:40 AM PDT","21572731031","Order","113-7738522-0209865","QXJ-QF-4006DW","DACAT-RICHFU Ultrasonic Cleaner, 6.5L Professional Ultrasonic Cleaner Stainless Steel Heated Industrial Cleaning Machine，Ultrasonic Parts Cleaner Fi","1","amazon.com","Standard Orders","Amazon","HALLANDALE BEACH","FL","33009","MarketplaceFacilitator","109.99","7.70","5.71","0","0","0","0","0","-5.71","0","-7.70","0","-16.27","0","0","93.72"
"Oct 13, 2024 6:40:49 PM PDT","21572731031","Order","114-0645196-2173058","MJQ-TR250E","DACAT-RICHFU TR250E 14L Autoclave","1","amazon.com","Standard Orders","Amazon","AUBURN","WA","98002","MarketplaceFacilitator","538.99","55.52","0","0","0","0","0","0","0","0","-55.52","0","-24.25","0","0","514.74"
"Oct 13, 2024 7:54:06 PM PDT","21572731031","Order","112-5725827-5385827","QXJ-QF-4006DW","DACAT-RICHFU Ultrasonic Cleaner, 6.5L Professional Ultrasonic Cleaner Stainless Steel Heated Industrial Cleaning Machine，Ultrasonic Parts Cleaner Fi","1","amazon.com","Standard Orders","Amazon","Bogotá","Bogotá","","","109.99","0","6.89","0","0","0","0","0","-6.89","0","0","0","-16.27","0","0","93.72"
"Oct 13, 2024 8:55:14 PM PDT","21572731031","Order","114-4563890-8945059","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","NOVATO","CA","94947","MarketplaceFacilitator","868.99","73.86","0","0","0","0","0","0","0","0","-73.86","-38.13","-51.37","0","0","779.49"
"Oct 13, 2024 10:14:45 PM PDT","21572731031","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-503.58","0","-503.58"
