"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Sep 1, 2024 1:16:52 PM PDT","21308340621","Order","114-9713410-6367405","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","BRENHAM","TX","77833","MarketplaceFacilitator","868.99","71.69","0","0","0","0","0","0","0","0","-71.69","0","-51.37","0","0","817.62"
"Sep 2, 2024 12:32:46 AM PDT","21308340621","Order","114-1887290-2806662","QXJ-QF-4006DW","DACAT-RICHFU Ultrasonic Cleaner, 6.5L Professional Ultrasonic Cleaner Stainless Steel Heated Industrial Cleaning Machine，Ultrasonic Parts Cleaner Fi","1","amazon.com","Standard Orders","Amazon","COON RAPIDS","MN","55433","MarketplaceFacilitator","109.99","8.94","0","0","0","0","0","0","0","0","-8.94","0","-16.27","0","0","93.72"
"Sep 2, 2024 2:13:00 PM PDT","21308340621","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-342.24","0","-342.24"
"Sep 5, 2024 11:23:44 AM PDT","21308340621","Order","113-0477740-0561841","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","SOUTH OGDEN","UT","84403","MarketplaceFacilitator","868.99","63.00","0","0","0","0","0","0","0","0","-63.00","0","-51.37","0","0","817.62"
"Sep 5, 2024 12:41:39 PM PDT","21308340621","Order","112-7271845-6816260","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","PORTLAND","ME","04101","MarketplaceFacilitator","868.99","47.79","0","0","0","0","0","0","0","0","-47.79","0","-51.37","0","0","817.62"
"Sep 5, 2024 12:42:01 PM PDT","21308340621","Order","111-0893753-2566636","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","ROBBINSDALE","MN","55422","MarketplaceFacilitator","868.99","74.08","0","0","0","0","0","0","0","0","-74.08","0","-51.37","0","0","817.62"
"Sep 6, 2024 1:10:30 PM PDT","21308340621","Order","113-4063352-0672204","MJQ-TR250M","DACAT-RICHFU TR250M 18L Autoclave","1","amazon.com","Standard Orders","Amazon","Sabaneta","Antioquia colombia","","","739.99","0","119.03","0","0","0","0","0","-219.03","0","0","0","-46.12","0","0","593.87"
"Sep 7, 2024 3:19:34 PM PDT","20606845691","Transfer","","","To your account ending in: 605, Bank Transfer ID: 6X5VYQZR3O800PM","","","Invoiced Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-817.62","-817.62"
"Sep 8, 2024 3:46:05 AM PDT","21308340621","Service Fee","","","Subscription","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-18.18","-18.18"
"Sep 8, 2024 1:06:25 PM PDT","21308340621","FBA Inventory Fee","","","FBA storage fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-150.94","-150.94"
"Sep 8, 2024 6:37:40 PM PDT","21308340621","Order","111-0524370-5246626","DS-250NM","Autoclave Doorseal for Model TR250NM, 23 inch Diameter","1","amazon.com","Standard Orders","Seller","TITUSVILLE","FL","32796","MarketplaceFacilitator","49.95","3.50","0","0","0","0","0","0","0","0","-3.50","0","0","0","0","49.95"
