"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Sep 1, 2024 2:47:41 AM PDT","21266493621","Service Fee","","","Subscription","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-39.99","-39.99"
"Sep 1, 2024 4:23:25 PM PDT","21266493621","Order","114-1924338-8153828","Wire 316L 28x3+37ga","Hot Heating Wire - Versatile 15ft Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused C","1","amazon.com","Standard Orders","Amazon","DELRAY BEACH","FL","33484","MarketplaceFacilitator","16.99","1.19","0.05","0","0","0","0","0","0","0","-1.19","0","-3.73","0","0","13.31"
"Sep 1, 2024 5:42:52 PM PDT","21266493621","Order","114-4653659-8187412","Coil 316L 28+38ga","Hot Heating Wire - Versatile Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused Clapto","1","amazon.com","Standard Orders","Amazon","KANSAS CITY","MO","64157","MarketplaceFacilitator","15.99","1.17","0.07","0","0","0","0","0","-2.47","0","-1.17","0","-3.68","0","0","9.91"
"Sep 2, 2024 3:36:17 PM PDT","21266493621","Service Fee","57b43cee-65a2-4c3a-9a8b-8bced71e864e","","Coupon Redemption Fee: Save 20% on Coilsmith Fused Clapton Wire","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Sep 2, 2024 6:45:52 PM PDT","21266493621","Order","111-7074029-0200220","Wire 316L 28x3+37ga","Hot Heating Wire - Versatile 15ft Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused C","1","amazon.com","Standard Orders","Amazon","ELYRIA","OH","44035","MarketplaceFacilitator","16.99","0.88","0","0","0","0","0","0","-3.40","0","-0.88","0","-3.68","0","0","9.91"
"Sep 3, 2024 7:24:29 AM PDT","21266493621","Order","112-8279902-4836223","Wire Ni90 28x2+38ga","Hot Heating Wire - Versatile 15ft Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused C","1","amazon.com","Standard Orders","Amazon","TAYLOR","MI","48180","MarketplaceFacilitator","16.99","0.92","0","0","0","0","0","0","-1.70","0","-0.92","0","-3.06","0","0","12.23"
"Sep 3, 2024 7:24:29 AM PDT","21266493621","Order","112-8279902-4836223","Wire Ni90 26x2+38ga","Hot Heating Wire - Versatile 15ft Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused C","1","amazon.com","Standard Orders","Amazon","TAYLOR","MI","48180","MarketplaceFacilitator","16.99","0.92","0","0","0","0","0","0","-1.70","0","-0.92","0","-3.06","0","0","12.23"
"Sep 3, 2024 2:54:57 PM PDT","21266493621","Order","114-9111398-2006652","Coil 316L Phantom","Hot Heating Wire - Versatile Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused Clapto","1","amazon.com","Standard Orders","Amazon","RUCKERSVILLE","VA","22968","MarketplaceFacilitator","20.99","1.11","0","0","0","0","0","0","0","0","-1.11","0","-3.68","0","0","17.31"
"Sep 3, 2024 6:00:39 PM PDT","21266493621","Service Fee","dcba8c9e-6415-47a0-be68-da9f256fa6c9","","Coupon Redemption Fee: Save 15% on Coilsmith Fused Clapton Coil","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Sep 3, 2024 9:33:27 PM PDT","21266493621","Order","113-9293319-9778612","Coil 316L 30x2+38ga","Hot Heating Wire - Versatile Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused Clapto","1","amazon.com","Standard Orders","Amazon","CHARLOTTE","MI","48813","MarketplaceFacilitator","16.99","0.87","0","0","0","0","0","0","-2.55","0","-0.87","0","-3.68","0","0","10.76"
"Sep 4, 2024 11:18:09 AM PDT","21266493621","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-499.31","0","-499.31"
"Sep 4, 2024 2:09:24 PM PDT","21266493621","Order","112-1020693-7290660","Coil 316L Phantom","Hot Heating Wire - Versatile Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused Clapto","1","amazon.com","Standard Orders","Amazon","BRANCHVILLE","SC","29432","MarketplaceFacilitator","20.99","1.25","0","0","0","0","0","0","-3.15","0","-1.25","0","-3.68","0","0","14.16"
"Sep 4, 2024 3:27:29 PM PDT","21266493621","Service Fee","57b43cee-65a2-4c3a-9a8b-8bced71e864e","","Coupon Redemption Fee: Save 20% on Coilsmith Fused Clapton Wire","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Sep 5, 2024 12:08:17 AM PDT","21266493621","Transfer","","","To your account ending in: 073, Bank Transfer ID: 6AOC2GSN0LLWPHN","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-566.82","-566.82"
"Sep 5, 2024 2:17:44 AM PDT","21266493621","Order","111-5148176-7901033","Coil 316L 30x2+38ga","Hot Heating Wire - Versatile Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused Clapto","1","amazon.com","Standard Orders","Amazon","BURLINGTON","WI","53105","MarketplaceFacilitator","16.99","0.79","0","0","0","0","0","0","-2.55","0","-0.79","0","-3.68","0","0","10.76"
"Sep 5, 2024 2:56:34 AM PDT","21266493621","Order","112-6286907-8173065","Wire 316L 30x4+38ga","Hot Heating Wire - Versatile 15ft Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused C","1","amazon.com","Standard Orders","Amazon","DESOTO","TX","75115","MarketplaceFacilitator","16.99","1.40","0","0","0","0","0","0","0","0","-1.40","0","-3.68","0","0","13.31"
"Sep 5, 2024 11:25:46 AM PDT","21266493621","Order","114-0878533-2191468","Coil 316L 30x2+38ga","Hot Heating Wire - Versatile Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused Clapto","1","amazon.com","Standard Orders","Amazon","FEDERAL WAY","WA","98023","MarketplaceFacilitator","16.99","1.47","0","0","0","0","0","0","-2.55","0","-1.47","0","-3.68","0","0","10.76"
"Sep 5, 2024 6:09:32 PM PDT","21266493621","Service Fee","dcba8c9e-6415-47a0-be68-da9f256fa6c9","","Coupon Redemption Fee: Save 15% on Coilsmith Fused Clapton Coil","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Sep 5, 2024 7:53:37 PM PDT","21266493621","Order","111-9438848-2321813","Coil 316L Phantom","Hot Heating Wire - Versatile Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused Clapto","1","amazon.com","Standard Orders","Amazon","SALEM","VA","24153","MarketplaceFacilitator","20.99","0.95","0","0","0","0","0","0","-3.15","0","-0.95","0","-3.68","0","0","14.16"
"Sep 5, 2024 8:59:33 PM PDT","21266493621","Order","114-5187578-8457012","Coil 316L 30x2+38ga","Hot Heating Wire - Versatile Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused Clapto","1","amazon.com","Standard Orders","Amazon","LITTLE ROCK","AR","72223","MarketplaceFacilitator","16.99","1.27","0","0","0","0","0","0","0","0","-1.27","0","-3.68","0","0","13.31"
"Sep 5, 2024 9:20:10 PM PDT","21266493621","Order","112-3110853-0512210","Wire Ni90 26x2+38ga","Hot Heating Wire - Versatile 15ft Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused C","1","amazon.com","Standard Orders","Amazon","SPANAWAY","WA","98387","MarketplaceFacilitator","16.99","1.29","0.50","0","0","0","0","0","-3.90","0","-1.29","0","-3.06","0","0","10.53"
"Sep 6, 2024 10:27:11 AM PDT","21266493621","Order","113-3373021-4507456","Coil 316L Phantom","Hot Heating Wire - Versatile Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused Clapto","1","amazon.com","Standard Orders","Amazon","JANESVILLE","WI","53545","MarketplaceFacilitator","20.99","1.15","1.85","0.10","0","0","0","0","0","0","-1.25","0","-5.53","0","0","17.31"
"Sep 6, 2024 12:25:58 PM PDT","21266493621","Order","113-4116760-8321859","Wire 316L 27x2+38ga","Hot Heating Wire - Versatile 15ft Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused C","1","amazon.com","Standard Orders","Amazon","Narberth","PA","19072","MarketplaceFacilitator","15.99","0.96","0","0","0","0","0","0","0","0","-0.96","0","-3.06","0","0","12.93"
"Sep 6, 2024 6:20:36 PM PDT","21266493621","Service Fee","d86d3f0c-bff9-4dd2-b6f0-867661512e5a","","Coupon Redemption Fee: Save 20% on Coilsmith Fused Clapton Wire","2","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-1.20","0","-1.20"
"Sep 6, 2024 6:34:03 PM PDT","21266493621","Service Fee","dcba8c9e-6415-47a0-be68-da9f256fa6c9","","Coupon Redemption Fee: Save 15% on Coilsmith Fused Clapton Coil","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Sep 6, 2024 11:29:38 PM PDT","21266493621","Order","111-8936694-4067420","Coil 316L Juggernaut","Hot Heating Wire - Versatile Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused Clapto","1","amazon.com","Standard Orders","Amazon","Saint Joseph","MO","64503","MarketplaceFacilitator","19.99","1.80","0","0","0","0","0","0","-1.47","0","-1.80","0","-3.68","0","0","14.84"
"Sep 6, 2024 11:29:38 PM PDT","21266493621","Order","111-8936694-4067420","Coil 316L Phantom","Hot Heating Wire - Versatile Resistance Wire for Kilns, Pottery, and Forging. Highly Resistant, Hybrid Core, Ideal for Prebuilt Coils and Fused Clapto","1","amazon.com","Standard Orders","Amazon","Saint Joseph","MO","64503","MarketplaceFacilitator","20.99","1.89","0","0","0","0","0","0","-1.53","0","-1.89","0","-3.68","0","0","15.78"
